asset_id,asset_type,category,label,semantic_use,primary_color_token,secondary_color_token,svg,png_preview,allowed_use,prohibited_use,license
gene_locus,symbol,molecular,Gene locus,"gene-level features, sequence context",blue,purple,assets/biovis_symbol_module_pack_v0_3/symbols/svg/gene_locus.svg,assets/biovis_symbol_module_pack_v0_3/symbols/png/gene_locus.png,gene/feature signpost,do not imply DNA-seq evidence by itself,Original project artwork; repository MIT license.
rna_readout,symbol,molecular,RNA readout,RNA-seq and expression measurement,teal,blue,assets/biovis_symbol_module_pack_v0_3/symbols/svg/rna_readout.svg,assets/biovis_symbol_module_pack_v0_3/symbols/png/rna_readout.png,default expression assay marker,do not use for protein abundance without label,Original project artwork; repository MIT license.
protein_program,symbol,molecular,Protein program,"proteins, complexes, pathway activity",amber,green,assets/biovis_symbol_module_pack_v0_3/symbols/svg/protein_program.svg,assets/biovis_symbol_module_pack_v0_3/symbols/png/protein_program.png,protein/pathway shorthand,do not imply direct proteomics unless supported,Original project artwork; repository MIT license.
pathway_network,symbol,molecular,Pathway network,pathway-level interpretation,green,amber,assets/biovis_symbol_module_pack_v0_3/symbols/svg/pathway_network.svg,assets/biovis_symbol_module_pack_v0_3/symbols/png/pathway_network.png,program or network summary,do not present as causal wiring,Original project artwork; repository MIT license.
mitochondrial_stress,symbol,cellular,Mitochondrial stress,organelle stress and metabolism,teal,rose,assets/biovis_symbol_module_pack_v0_3/symbols/svg/mitochondrial_stress.svg,assets/biovis_symbol_module_pack_v0_3/symbols/png/mitochondrial_stress.png,stress biology marker,do not overclaim microscopy evidence,Original project artwork; repository MIT license.
cell_state,symbol,cellular,Cell state,cell-level state or phenotype,green,blue,assets/biovis_symbol_module_pack_v0_3/symbols/svg/cell_state.svg,assets/biovis_symbol_module_pack_v0_3/symbols/png/cell_state.png,single-cell or cell-state marker,do not imply a specific cell type without label,Original project artwork; repository MIT license.
cell_population,symbol,cellular,Cell population,cell clusters and population shifts,blue,green,assets/biovis_symbol_module_pack_v0_3/symbols/svg/cell_population.svg,assets/biovis_symbol_module_pack_v0_3/symbols/png/cell_population.png,population or embedding marker,do not use as measured UMAP without data,Original project artwork; repository MIT license.
organoid_rosette,symbol,cellular,Organoid rosette,organoid or 3D culture extension,purple,green,assets/biovis_symbol_module_pack_v0_3/symbols/svg/organoid_rosette.svg,assets/biovis_symbol_module_pack_v0_3/symbols/png/organoid_rosette.png,organoid/culture context,do not imply organoid validation if it is only future scope,Original project artwork; repository MIT license.
tissue_section,symbol,tissue,Tissue section,bulk tissue or histology-like context,amber,rose,assets/biovis_symbol_module_pack_v0_3/symbols/svg/tissue_section.svg,assets/biovis_symbol_module_pack_v0_3/symbols/png/tissue_section.png,tissue evidence anchor,do not present as source histology,Original project artwork; repository MIT license.
spatial_spots,symbol,tissue,Spatial spots,spatial transcriptomics or spatial assay,purple,green,assets/biovis_symbol_module_pack_v0_3/symbols/svg/spatial_spots.svg,assets/biovis_symbol_module_pack_v0_3/symbols/png/spatial_spots.png,spatial modality marker,do not imply spatial data exists without source,Original project artwork; repository MIT license.
