motif_id,category,label,semantic_use,primary_color_token,secondary_color_token,svg,png_preview,license,caution
cell_state_microfield,cellular,Cell state microfield,"single-cell state, cell composition, sample biology",bio_green,source_blue,assets/biovis_motif_pack_v0_2/svg/cell_state_microfield.svg,assets/biovis_motif_pack_v0_2/png/cell_state_microfield.png,Original project artwork; repository MIT license.,"Use as cellular context, not a specific cell type."
mitochondrial_stress_field,cellular,Mitochondrial stress field,"organelle stress, metabolism, radiation or oxidative context",assay_teal,label_amber,assets/biovis_motif_pack_v0_2/svg/mitochondrial_stress_field.svg,assets/biovis_motif_pack_v0_2/png/mitochondrial_stress_field.png,Original project artwork; repository MIT license.,Use as biological interpretation only unless mitochondria are measured.
organoid_spheroid_field,cellular,Organoid spheroid field,human organoid or 3D culture extension,model_purple,bio_green,assets/biovis_motif_pack_v0_2/svg/organoid_spheroid_field.svg,assets/biovis_motif_pack_v0_2/png/organoid_spheroid_field.png,Original project artwork; repository MIT license.,Pair with draft/diagnostic caveats for organoid tracks.
single_cell_droplet_field,cellular,Single-cell droplet field,"single-cell assay, cell barcode, droplet capture",source_blue,assay_teal,assets/biovis_motif_pack_v0_2/svg/single_cell_droplet_field.svg,assets/biovis_motif_pack_v0_2/png/single_cell_droplet_field.png,Original project artwork; repository MIT license.,Do not imply runnable scRNA-seq payload readiness.
tissue_contour_section,tissue,Tissue contour section,"bulk tissue, histology-like context, tissue-specific result",bio_green,rule,assets/biovis_motif_pack_v0_2/svg/tissue_contour_section.svg,assets/biovis_motif_pack_v0_2/png/tissue_contour_section.png,Original project artwork; repository MIT license.,"Symbolic tissue surface, not microscopy proof."
epithelial_barrier_field,tissue,Epithelial barrier field,"barrier tissue, tissue architecture, lining",assay_teal,bio_green,assets/biovis_motif_pack_v0_2/svg/epithelial_barrier_field.svg,assets/biovis_motif_pack_v0_2/png/epithelial_barrier_field.png,Original project artwork; repository MIT license.,Generic barrier architecture only.
vascular_microsection,tissue,Vascular microsection,vascular/perfusion/cfRNA origin context,test_red,source_blue,assets/biovis_motif_pack_v0_2/svg/vascular_microsection.svg,assets/biovis_motif_pack_v0_2/png/vascular_microsection.png,Original project artwork; repository MIT license.,Use red carefully so it is not confused with held-out/test status.
spatial_spot_tissue_field,tissue,Spatial spot tissue field,"spatial transcriptomics, tissue spots, location-aware biology",bio_green,model_purple,assets/biovis_motif_pack_v0_2/svg/spatial_spot_tissue_field.svg,assets/biovis_motif_pack_v0_2/png/spatial_spot_tissue_field.png,Original project artwork; repository MIT license.,Use only for spatial/modality explanation or clearly bounded future work.
rna_expression_trace,molecular,RNA expression trace,"RNA-seq expression, molecular readout, transcript signal",assay_teal,source_blue,assets/biovis_motif_pack_v0_2/svg/rna_expression_trace.svg,assets/biovis_motif_pack_v0_2/png/rna_expression_trace.png,Original project artwork; repository MIT license.,Default molecular signal motif for expression assays.
dna_context_trace,molecular,DNA context trace,"gene set, sequence context, feature identity",source_blue,model_purple,assets/biovis_motif_pack_v0_2/svg/dna_context_trace.svg,assets/biovis_motif_pack_v0_2/png/dna_context_trace.png,Original project artwork; repository MIT license.,Avoid using as RNA-seq expression shorthand unless caption clarifies.
protein_complex_field,molecular,Protein complex field,"protein, proteomics, pathway protein-level intuition",label_amber,bio_green,assets/biovis_motif_pack_v0_2/svg/protein_complex_field.svg,assets/biovis_motif_pack_v0_2/png/protein_complex_field.png,Original project artwork; repository MIT license.,Do not imply direct proteomics without data support.
pathway_program_field,molecular,Pathway program field,"pathway summary, biological program, network feature",bio_green,label_amber,assets/biovis_motif_pack_v0_2/svg/pathway_program_field.svg,assets/biovis_motif_pack_v0_2/png/pathway_program_field.png,Original project artwork; repository MIT license.,"Use for summarized programs, not causal pathways by default."
brain_neural_context,organ,Brain neural context,"brain, neural organoid, CNS interpretation",model_purple,source_blue,assets/biovis_motif_pack_v0_2/svg/brain_neural_context.svg,assets/biovis_motif_pack_v0_2/png/brain_neural_context.png,Original project artwork; repository MIT license.,Label clearly if the asset represents organoid rather than organ tissue.
kidney_tubule_context,organ,Kidney tubule context,"kidney, renal tissue, tubule-like biology",bio_green,label_amber,assets/biovis_motif_pack_v0_2/svg/kidney_tubule_context.svg,assets/biovis_motif_pack_v0_2/png/kidney_tubule_context.png,Original project artwork; repository MIT license.,Use with tissue labels for specificity.
liver_lobule_context,organ,Liver lobule context,"liver, metabolism, lobule-like tissue context",label_amber,test_red,assets/biovis_motif_pack_v0_2/svg/liver_lobule_context.svg,assets/biovis_motif_pack_v0_2/png/liver_lobule_context.png,Original project artwork; repository MIT license.,Keep amber/red separated from test-boundary semantics.
sample_to_matrix_assay,assay,Sample to matrix assay,sample collection to expression matrix/task input,source_blue,assay_teal,assets/biovis_motif_pack_v0_2/svg/sample_to_matrix_assay.svg,assets/biovis_motif_pack_v0_2/png/sample_to_matrix_assay.png,Original project artwork; repository MIT license.,Do not imply wet-lab protocol steps not in the analysis.
