claim_boundary,constraint,constraint_kind,display,evaluation,group,kind,lane,metric,panel,provenance,release,release_kind,source,step,value
,"local data copy/hash
blocked",blocked,,"8 tasks / 33 folds
24 baseline rows",,,Public mouse bulk,,v9_status_matrix,"22 sources
checksums parsed","metadata preview
allowed",ready,v9/reports/public_bulk_alpha_snapshot_decision/snapshot_decision_summary.csv,,
,"donor/source
coupling",draft,,"pilot baseline
gene checks",,,Human organoid,,v9_status_matrix,"2 sources
42 samples","draft with
biology checks",draft,v9/human_organoid/reports/ORGANOID_DIAGNOSTIC_CONSOLIDATION_AND_RELEASE_BOUNDARY.md,,
,"species namespace
and strata",draft,,"plant/fly plus
OSD-120 pilots",,,Multispecies,,v9_status_matrix,"3 sources
124 samples","feasibility only
no leaderboard",draft,v9/multispecies/reports/MULTISPECIES_BASELINE_SENSITIVITY_REVIEW.md,,
,"missing data files
17 blockers",blocked,,"metric plan
present",,,Single-cell,,v9_status_matrix,"54 legacy assets
indexed","no runnable
data yet",blocked,v9/sc_spaceflight/obs_var_audit_summary.csv,,
,,,22,,Bulk,ready,,public source rows,v9_evidence_footprint,,,,v9/source_inventory.csv,,22
,,,33,,Bulk,ready,,held-out mission folds,v9_evidence_footprint,,,,v9/reports/public_bulk_alpha_gap_matrix/public_bulk_alpha_gap_summary.csv,,33
,,,24,,Bulk,ready,,baseline rows,v9_evidence_footprint,,,,v9/reports/public_bulk_alpha_gap_matrix/public_bulk_alpha_gap_summary.csv,,24
,,,42,,Organoid,draft,,public samples,v9_evidence_footprint,,,,v9/human_organoid/sample_factors.draft.csv,,42
,,,8,,Organoid,draft,,gene contrasts,v9_evidence_footprint,,,,v9/human_organoid/de_references/human_organoid_de_reference_manifest.draft.json,,8
,,,242.7k,,Organoid,draft,,gene reference rows,v9_evidence_footprint,,,,v9/human_organoid/de_references/human_organoid_de_reference_manifest.draft.json,,242708
,,,124,,Multispecies,draft,,public samples,v9_evidence_footprint,,,,v9/multispecies/sample_factors.draft.csv,,124
,,,54,,Single-cell,diagnostic,,legacy assets indexed,v9_evidence_footprint,,,,v9/sc_spaceflight/asset_inventory_summary.csv,,54
,,,17,,Single-cell,blocked,,data blockers,v9_evidence_footprint,,,,v9/sc_spaceflight/obs_var_audit_summary.csv,,17
platform_status_not_final_benchmark_results,,,,,,,,,v9_architecture,,,,docs/V9_LONG_HORIZON_EXECUTION_PLAN.md;v9/README.md,public_sources_to_release_gates,
