gap_matrix_id,gap_id,gap_category,readiness_status,severity,evidence_paths,evidence_summary,owner_action,allowed_current_claim,prohibited_release_claim
v9_public_bulk_alpha_freeze_gap_matrix,task_manifest_registry,task_registry,pass,P0,v9/task_manifest_index.csv,8 public bulk task manifests and 33 folds indexed.,keep generated task index in alpha package,public bulk task manifests are indexed,frozen benchmark release
v9_public_bulk_alpha_freeze_gap_matrix,source_inventory_scope,source_inventory,pass,P0,v9/source_inventory.csv,22 public bulk source rows scoped to mouse bulk LOMO.,keep organoid and multispecies draft tracks out of public bulk core,public mouse bulk source inventory exists,all v9 draft tracks are in alpha core
v9_public_bulk_alpha_freeze_gap_matrix,checksum_manifest_evidence,source_integrity,pass,P0,v9/source_checksum_audit.csv,22/22 sources have parsed checksum-manifest evidence.,retain API/checksum-manifest evidence in alpha package,checksum manifests were parsed for public bulk sources,payload files are locally hash-verified
v9_public_bulk_alpha_freeze_gap_matrix,payload_hash_verification,source_integrity,blocker,P0,v9/source_checksum_audit.csv,0/22 sources are freeze_ready=true.,choose payload-mirror hash plan or metadata-only alpha wording,payload hash verification remains pending,frozen payload mirror
v9_public_bulk_alpha_freeze_gap_matrix,baseline_output_evidence,baseline_outputs,pass,P1,v9/reports/bulk_lomo_baseline_summary.csv,24/24 public bulk baseline rows are evaluated.,keep baseline outputs linked through run manifests,simple public bulk baselines are reproduced,state-of-the-art leaderboard
v9_public_bulk_alpha_freeze_gap_matrix,datapackage_descriptor,package_metadata,needs_update,P1,v9/datapackage.draft.json,draft Data Package has 11 resources.,add alpha gap-matrix resources and payload-hash boundary after this block,draft Data Package descriptor exists,complete release metadata descriptor
v9_public_bulk_alpha_freeze_gap_matrix,dataset_card_language,release_language,needs_update,P1,docs/v9_hf_dataset_card.md,dataset card declares draft status,add explicit alpha gap and payload-boundary wording,dataset-card draft exists,frozen public release card
v9_public_bulk_alpha_freeze_gap_matrix,track_scope_separation,scope_boundary,pass,P1,v9/human_organoid/|v9/multispecies/|v9/source_inventory.csv,public bulk core remains separate from draft organoid and multispecies tracks.,do not pull draft extension artifacts into the public bulk alpha core,public bulk alpha is mouse bulk LOMO scoped,organoid or multispecies draft tasks are alpha leaderboard tasks
v9_public_bulk_alpha_freeze_gap_matrix,recenter_alignment,program_sequence,pass,P1,v9/reports/recenter_decision/recenter_decision_summary.csv,V9-REFOCUS-001 selected public bulk alpha as the next active lane.,continue V9-BULK-ALPHA blocks before V9-SC-001,program has recentered on public bulk alpha readiness,single-cell flagship has started
v9_public_bulk_alpha_freeze_gap_matrix,minimal_alpha_snapshot_decision,release_decision,blocker,P0,v9/task_manifest_index.csv|v9/source_inventory.csv|v9/source_checksum_audit.csv|v9/reports/bulk_lomo_baseline_summary.csv|v9/datapackage.draft.json|docs/v9_hf_dataset_card.md,metadata-only alpha snapshot decision is not yet recorded.,decide metadata-only alpha versus payload-mirror prerequisite,alpha decision is pending,alpha release approved
