audit_id,task_id,gap_id,category,readiness_status,fix_priority,finding,evidence_artifacts,evidence_fields,external_reference_ids,external_reference_urls,remediation,claim_boundary_impact,next_owner_block
osd120_release_readiness_gap_audit,draft_osd120_arabidopsis_root_light_interaction_spaceflight,artifact_manifest_traceability,local_artifact_traceability,pass,draft_ready,26 diagnostic artifacts are indexed; 0 missing and 0 without SHA-256.,v9/multispecies/reports/interaction_diagnostic_artifact_manifest/diagnostic_artifact_manifest.csv,exists|byte_size|row_count|sha256|required_for_claims,fair_principles,https://www.go-fair.org/fair-principles,Keep regenerating this manifest after every diagnostic output change.,Supports local diagnostic claims only.,V9-MULTI-026
osd120_release_readiness_gap_audit,draft_osd120_arabidopsis_root_light_interaction_spaceflight,claim_boundary_map,claim_language,pass,draft_ready,"7 diagnostic claims are mapped to artifacts, tests, limitations, and external context where relevant.",v9/multispecies/reports/interaction_diagnostic_artifact_manifest/diagnostic_claim_artifact_map.csv|v9/multispecies/reports/interaction_figure_table_package/figure_claim_boundary_box.md,claim_status|artifact_ids|validation_tests|limitations,fair_principles|huggingface_dataset_cards,https://www.go-fair.org/fair-principles|https://huggingface.co/docs/hub/datasets-cards,Reuse the claim map when drafting public-card language.,"Prevents frozen, LOMO, biomarker, and operational claims.",V9-MULTI-026
osd120_release_readiness_gap_audit,draft_osd120_arabidopsis_root_light_interaction_spaceflight,sample_matrix_alignment,input_integrity,pass,draft_ready,"OSD-120 has 36 matrix sample columns, 36 matching sample-factor rows, and 36 parsed sample factors.",v9/multispecies/expression_matrix_audit.draft.csv|v9/multispecies/sample_factors.draft.csv,matrix_columns_match_sample_factors|audit_status|parse_status|condition_stratum|light_treatment,nasa_osdr_repository,https://science.nasa.gov/biological-physical/data/osdr/,Keep the matrix/sample-factor audit as a required preflight check.,Supports within-source OSD-120 split integrity.,V9-MULTI-026
osd120_release_readiness_gap_audit,draft_osd120_arabidopsis_root_light_interaction_spaceflight,local_payload_spotcheck,input_integrity,pass,draft_ready,The local OSD-120 SampleTable and normalized-count matrix are recorded as MD5 matches against the processed OSDR checksum manifest.,v9/multispecies/reports/MULTISPECIES_CHECKSUM_AND_LOCAL_PAYLOAD_AUDIT.md|v9/multispecies/source_checksum_audit.draft.csv,local_payload_status|checksum_manifest_files|checksum_payload_matches,nasa_osdr_repository,https://science.nasa.gov/biological-physical/data/osdr/,Promote from spot-check to full payload freeze before public alpha.,"Enough for draft diagnostics, not enough for a release freeze.",V9-MULTI-027
osd120_release_readiness_gap_audit,draft_osd120_arabidopsis_root_light_interaction_spaceflight,full_osdr_payload_freeze,source_freeze,blocker,before_public_alpha,"OSD-120 has API and checksum-manifest evidence, but freeze_ready=false; the audit has not downloaded and hashed every listed payload.",v9/multispecies/source_checksum_audit.draft.csv|v9/multispecies/interaction_task_manifests/draft_osd120_arabidopsis_root_light_interaction_spaceflight.json,freeze_ready|pending_reason|parsed_checksum_entries|checksum_payload_matches,nasa_osdr_repository|fair_principles,https://science.nasa.gov/biological-physical/data/osdr/|https://www.go-fair.org/fair-principles,"Create an OSD-120 payload freeze manifest with file-level names, expected MD5 values, observed local hashes, and missing payload rows.",Blocks any frozen public-alpha source claim.,V9-MULTI-027
osd120_release_readiness_gap_audit,draft_osd120_arabidopsis_root_light_interaction_spaceflight,source_inventory_release_target,source_freeze,blocker,before_public_alpha,The OSD-120 source inventory and task manifest still mark the source as draft/not frozen.,v9/multispecies/source_inventory.draft.csv|v9/multispecies/interaction_task_manifests/draft_osd120_arabidopsis_root_light_interaction_spaceflight.json,release_target|source_inventory_status|release_status,fair_principles|datacite_schema,https://www.go-fair.org/fair-principles|https://schema.datacite.org/,Define a v9 public-alpha OSD-120 release target only after the payload freeze and card/package metadata are complete.,Blocks public-alpha wording beyond draft diagnostic artifact.,V9-MULTI-027
osd120_release_readiness_gap_audit,draft_osd120_arabidopsis_root_light_interaction_spaceflight,public_alpha_data_card_and_citation,release_metadata,blocker,before_public_alpha,"There is no OSD-120-specific public-alpha card with OSDR credit, scope, intended use, data fields, limitations, and citation/version language.",docs/v9_hf_dataset_card.md|v9/multispecies/reports/interaction_diagnostic_artifact_manifest/diagnostic_claim_artifact_map.csv,OSD-120-specific card missing|claim_text|limitations,nasa_osdr_faq_citation|huggingface_dataset_cards|datacite_schema,https://science.nasa.gov/reference/osdr-faq/|https://huggingface.co/docs/hub/datasets-cards|https://schema.datacite.org/,"Draft an OSD-120 diagnostic public-alpha card from the claim map, artifact manifest, source inventory, and external OSDR context.",Blocks clean external reader-facing release language.,V9-MULTI-028
osd120_release_readiness_gap_audit,draft_osd120_arabidopsis_root_light_interaction_spaceflight,machine_readable_release_package,release_metadata,needs_work,before_broader_release,"The diagnostic artifact manifest is strong, but there is not yet an OSD-120 Data Package or RO-Crate-style metadata bundle linking sources, scripts, outputs, checksums, authorship, license, and provenance.",v9/multispecies/reports/interaction_diagnostic_artifact_manifest/diagnostic_artifact_manifest.csv|v9/datapackage.draft.json,artifact_id|generated_by|sha256|resource descriptors pending,ro_crate_1_2|fair_principles,https://www.researchobject.org/ro-crate/specification.html|https://www.go-fair.org/fair-principles,Design an OSD-120 diagnostic package descriptor or fold it into the next v9 RO-Crate/Data Package export lane.,"Does not block draft review, but weakens machine-actionable release reuse.",V9-THEN-005
osd120_release_readiness_gap_audit,draft_osd120_arabidopsis_root_light_interaction_spaceflight,reproducibility_environment_lock,reproducibility,needs_work,before_broader_release,"Scripts and tests regenerate the OSD-120 tables, but the package does not yet include a release-specific environment lock or single-command rebuild gate for this diagnostic bundle.",scripts/build_v9_osd120_diagnostic_artifact_manifest.py|scripts/build_v9_osd120_release_readiness_gap_audit.py|tests/test_v9_spacebio_bench.py,validation_tests|generated_by|environment lock pending,fair_principles|ro_crate_1_2,https://www.go-fair.org/fair-principles|https://www.researchobject.org/ro-crate/specification.html,Add a release preflight command that rebuilds the diagnostic tables from source manifests and records package/runtime versions.,Current evidence is test-backed but not a full release rebuild gate.,V9-MULTI-029
osd120_release_readiness_gap_audit,draft_osd120_arabidopsis_root_light_interaction_spaceflight,versioned_archive_plan,release_metadata,needs_work,before_broader_release,"No OSD-120 diagnostic version tag, archival DOI plan, or related identifier map exists yet.",v9/OPERATING_BACKLOG.md,release target pending|DOI/version pending,datacite_schema|github_zenodo_doi,https://schema.datacite.org/|https://docs.github.com/en/repositories/archiving-a-github-repository/referencing-and-citing-content,"Define version strings, related identifiers, and an archive plan when the diagnostic package is promoted beyond internal draft.",Blocks citable release-candidate language.,V9-THEN-006
