candidate_id,model_class,variant_id,task_id,fold_family,heldout_factor,heldout_value,n_test,nearest_centroid_balanced_accuracy,candidate_balanced_accuracy,delta_candidate_minus_nearest_centroid,nearest_centroid_rank_low_to_high,candidate_rank_low_to_high,nearest_centroid_is_lowest_for_variant,candidate_is_lowest_for_variant,source_fold_detail_csv,source_comparison_csv,nearest_centroid_metrics,candidate_metrics
nearest_centroid_default,nearest_centroid,tvg2000_log1p_zscore,draft_osd120_arabidopsis_root_light_interaction_spaceflight,diagnostic_condition_stratum_holdout,condition_stratum,Col.0.PhyD|Dark.Treatment,6,0.5,0.5,0,1,1,True,True,v9/multispecies/reports/interaction_sensitivity/fold_detail_summary.csv,,v9/multispecies/reports/interaction_sensitivity/tvg2000_log1p_zscore/diagnostic_condition_stratum_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/metrics.json,v9/multispecies/reports/interaction_sensitivity/tvg2000_log1p_zscore/diagnostic_condition_stratum_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/metrics.json
nearest_centroid_default,nearest_centroid,tvg2000_log1p_zscore,draft_osd120_arabidopsis_root_light_interaction_spaceflight,secondary_light_treatment_holdout,light_treatment,Light.Treatment,18,0.5555555556,0.5555555556,0,1,1,True,True,v9/multispecies/reports/interaction_sensitivity/fold_detail_summary.csv,,v9/multispecies/reports/interaction_sensitivity/tvg2000_log1p_zscore/secondary_light_treatment_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/metrics.json,v9/multispecies/reports/interaction_sensitivity/tvg2000_log1p_zscore/secondary_light_treatment_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/metrics.json
nearest_centroid_default,nearest_centroid,tvg2000_log1p_zscore,draft_osd120_arabidopsis_root_light_interaction_spaceflight,primary_genotype_or_ecotype_holdout,genotype_or_ecotype,Col.0.PhyD,12,0.5,0.5,0,1,1,True,True,v9/multispecies/reports/interaction_sensitivity/fold_detail_summary.csv,,v9/multispecies/reports/interaction_sensitivity/tvg2000_log1p_zscore/primary_genotype_or_ecotype_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/metrics.json,v9/multispecies/reports/interaction_sensitivity/tvg2000_log1p_zscore/primary_genotype_or_ecotype_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/metrics.json
l2_logistic_default,l2_logistic,tvg2000_log1p_zscore,draft_osd120_arabidopsis_root_light_interaction_spaceflight,diagnostic_condition_stratum_holdout,condition_stratum,Col.0.PhyD|Dark.Treatment,6,0.5,0.3333333333,-0.1666666667,1,1,True,True,v9/multispecies/reports/interaction_logistic_l2/fold_detail_summary.csv,v9/multispecies/reports/interaction_logistic_l2/fold_detail_comparison_vs_nearest_centroid.csv,v9/multispecies/reports/interaction_sensitivity/tvg2000_log1p_zscore/diagnostic_condition_stratum_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/metrics.json,/Users/jak4013/Dropbox/Bioinformatics/Claude/GeneLab_benchmark/v9/multispecies/reports/interaction_logistic_l2/diagnostic_condition_stratum_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/metrics.json
l2_logistic_default,l2_logistic,tvg2000_log1p_zscore,draft_osd120_arabidopsis_root_light_interaction_spaceflight,secondary_light_treatment_holdout,light_treatment,Light.Treatment,18,0.5555555556,0.7222222222,0.1666666666,1,1,True,True,v9/multispecies/reports/interaction_logistic_l2/fold_detail_summary.csv,v9/multispecies/reports/interaction_logistic_l2/fold_detail_comparison_vs_nearest_centroid.csv,v9/multispecies/reports/interaction_sensitivity/tvg2000_log1p_zscore/secondary_light_treatment_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/metrics.json,/Users/jak4013/Dropbox/Bioinformatics/Claude/GeneLab_benchmark/v9/multispecies/reports/interaction_logistic_l2/secondary_light_treatment_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/metrics.json
l2_logistic_default,l2_logistic,tvg2000_log1p_zscore,draft_osd120_arabidopsis_root_light_interaction_spaceflight,primary_genotype_or_ecotype_holdout,genotype_or_ecotype,Col.0.PhyD,12,0.5,0.5833333333,0.0833333333,1,1,True,True,v9/multispecies/reports/interaction_logistic_l2/fold_detail_summary.csv,v9/multispecies/reports/interaction_logistic_l2/fold_detail_comparison_vs_nearest_centroid.csv,v9/multispecies/reports/interaction_sensitivity/tvg2000_log1p_zscore/primary_genotype_or_ecotype_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/metrics.json,/Users/jak4013/Dropbox/Bioinformatics/Claude/GeneLab_benchmark/v9/multispecies/reports/interaction_logistic_l2/primary_genotype_or_ecotype_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/metrics.json
l2_logistic_top500_c1,l2_logistic,tvg500_log1p_zscore_c1,draft_osd120_arabidopsis_root_light_interaction_spaceflight,diagnostic_condition_stratum_holdout,condition_stratum,Col.0.PhyD|Dark.Treatment,6,0.5,0.6666666667,0.1666666667,1,1,True,True,v9/multispecies/reports/interaction_logistic_l2_sensitivity/fold_detail_summary.csv,v9/multispecies/reports/interaction_logistic_l2_sensitivity/fold_detail_comparison_vs_nearest_centroid.csv,v9/multispecies/reports/interaction_sensitivity/tvg2000_log1p_zscore/diagnostic_condition_stratum_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/metrics.json,/Users/jak4013/Dropbox/Bioinformatics/Claude/GeneLab_benchmark/v9/multispecies/reports/interaction_logistic_l2_sensitivity/tvg500_log1p_zscore_c1/diagnostic_condition_stratum_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/metrics.json
l2_logistic_top500_c1,l2_logistic,tvg500_log1p_zscore_c1,draft_osd120_arabidopsis_root_light_interaction_spaceflight,secondary_light_treatment_holdout,light_treatment,Light.Treatment,18,0.5555555556,0.5,-0.0555555556,1,1,True,True,v9/multispecies/reports/interaction_logistic_l2_sensitivity/fold_detail_summary.csv,v9/multispecies/reports/interaction_logistic_l2_sensitivity/fold_detail_comparison_vs_nearest_centroid.csv,v9/multispecies/reports/interaction_sensitivity/tvg2000_log1p_zscore/secondary_light_treatment_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/metrics.json,/Users/jak4013/Dropbox/Bioinformatics/Claude/GeneLab_benchmark/v9/multispecies/reports/interaction_logistic_l2_sensitivity/tvg500_log1p_zscore_c1/secondary_light_treatment_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/metrics.json
l2_logistic_top500_c1,l2_logistic,tvg500_log1p_zscore_c1,draft_osd120_arabidopsis_root_light_interaction_spaceflight,primary_genotype_or_ecotype_holdout,genotype_or_ecotype,Col.0.PhyD,12,0.5,0.6666666667,0.1666666667,1,1,True,True,v9/multispecies/reports/interaction_logistic_l2_sensitivity/fold_detail_summary.csv,v9/multispecies/reports/interaction_logistic_l2_sensitivity/fold_detail_comparison_vs_nearest_centroid.csv,v9/multispecies/reports/interaction_sensitivity/tvg2000_log1p_zscore/primary_genotype_or_ecotype_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/metrics.json,/Users/jak4013/Dropbox/Bioinformatics/Claude/GeneLab_benchmark/v9/multispecies/reports/interaction_logistic_l2_sensitivity/tvg500_log1p_zscore_c1/primary_genotype_or_ecotype_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/metrics.json
sparse_l1_c0p3,sparse_l1_logistic,tvg2000_log1p_zscore_l1_c0p3,draft_osd120_arabidopsis_root_light_interaction_spaceflight,diagnostic_condition_stratum_holdout,condition_stratum,Col.0.PhyD|Dark.Treatment,6,0.5,0.6666666667,0.1666666667,1,1,True,True,v9/multispecies/reports/interaction_logistic_sparse_l1/fold_detail_summary.csv,v9/multispecies/reports/interaction_logistic_sparse_l1/fold_detail_comparison_vs_nearest_centroid.csv,v9/multispecies/reports/interaction_sensitivity/tvg2000_log1p_zscore/diagnostic_condition_stratum_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/metrics.json,/Users/jak4013/Dropbox/Bioinformatics/Claude/GeneLab_benchmark/v9/multispecies/reports/interaction_logistic_sparse_l1/tvg2000_log1p_zscore_l1_c0p3/diagnostic_condition_stratum_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/metrics.json
